Designator,Mid X,Mid Y,Rotation,Layer
SW18,50.0063,-50.0062,0.0,top
SW19,69.0563,-50.0062,0.0,top
SW2,66.3575,-26.1937,0.0,top
SW20,88.1063,-50.0062,0.0,top
SW21,107.1563,-50.0062,0.0,top
SW22,126.2063,-50.0062,0.0,top
SW23,145.2563,-50.0062,0.0,top
SW24,164.3063,-50.0062,0.0,top
SW25,183.3563,-50.0062,0.0,top
SW26,202.4063,-50.0062,0.0,top
SW27,221.4563,-50.0062,0.0,top
SW28,240.5063,-50.0062,0.0,top
SW29,259.5563,-50.0062,0.0,top
SW3,85.4075,-26.1937,0.0,top
SW30,59.5313,-69.0562,0.0,top
SW31,78.5813,-69.0562,0.0,top
SW32,97.6313,-69.0562,0.0,top
SW33,116.6813,-69.0562,0.0,top
SW34,135.7313,-69.0562,0.0,top
SW35,154.7813,-69.0562,0.0,top
SW36,173.8313,-69.0562,0.0,top
SW37,192.8813,-69.0562,0.0,top
SW38,211.9313,-69.0562,0.0,top
SW39,230.8951,-69.0562,0.0,top
SW4,104.4575,-26.1937,0.0,top
SW40,249.9451,-69.0562,0.0,top
SW41,268.9951,-69.0562,0.0,top
SW42,64.2938,-88.1062,0.0,top
SW43,83.3438,-88.1062,0.0,top
SW44,102.3938,-88.1062,0.0,top
SW45,121.4438,-88.1062,0.0,top
SW46,140.4938,-88.1062,0.0,top
SW47,159.5438,-88.1062,0.0,top
SW48,178.5938,-88.1062,0.0,top
SW49,197.6438,-88.1062,0.0,top
SW5,123.5075,-26.1937,0.0,top
SW50,216.6938,-88.1062,0.0,top
SW51,235.7438,-88.1062,0.0,top
SW52,254.7938,-88.1062,0.0,top
SW53,73.8188,-107.1562,0.0,top
SW54,92.8688,-107.1562,0.0,top
SW55,111.9188,-107.1562,0.0,top
SW56,130.9688,-107.1562,0.0,top
SW57,150.0188,-107.1562,0.0,top
SW58,169.0688,-107.1562,0.0,top
SW59,188.1188,-107.1562,0.0,top
SW6,142.5575,-26.1937,0.0,top
SW60,207.1688,-107.1562,0.0,top
SW61,226.2188,-107.1562,0.0,top
SW62,245.2688,-107.1562,0.0,top
SW63,33.3375,-126.2062,0.0,top
SW64,57.1501,-126.2062,0.0,top
SW65,80.9626,-126.2062,0.0,top
SW66,152.4,-126.2062,0.0,top
SW67,223.8375,-126.2062,0.0,top
SW68,247.65,-126.2062,0.0,top
SW69,271.4625,-126.2062,0.0,top
SW7,161.6075,-26.1937,0.0,top
SW70,295.275,-126.2062,0.0,top
SW71,330.9938,-64.2937,0.0,top
SW72,350.0438,-64.2937,0.0,top
SW73,369.0938,-64.2937,0.0,top
SW74,350.3613,-107.1562,0.0,top
SW75,331.3113,-126.2062,0.0,top
SW76,350.3613,-126.2062,0.0,top
SW77,369.4113,-126.2062,0.0,top
SW78,297.6563,-26.1937,0.0,top
SW79,330.9938,-83.3437,0.0,top
SW8,180.6575,-26.1937,0.0,top
SW80,350.0438,-83.3437,0.0,top
SW81,369.0938,-83.3437,0.0,top
SW82,42.8625,-107.1562,0.0,top
SW83,292.8076,-69.0562,0.0,top
SW84,35.7188,-69.0562,0.0,top
SW85,38.1,-88.1062,0.0,top
SW86,288.0995,-50.0062,0.0,top
SW87,285.75,-88.1062,0.0,top
SW88,280.9875,-107.1562,0.0,top
SW89,369.0938,-23.8125,0.0,top
SW9,199.7075,-26.1937,0.0,top
